ALT,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11
200,0,0,0,0,0,0,0,0,0.000 ,0,0
195,6.365,8.745,8.228,13.823,12.788,9.377,11.223,15.48,12.689 ,20.018,23.324
190,11.855,16.188,15.596,24.772,23.954,17.733,21.111,28.436,24.008 ,37.874,42.165
185,16.532,22.38,22.076,33.266,33.261,25.131,29.702,39.203,33.915 ,53.331,57.383
180,20.472,27.426,27.664,39.769,40.655,31.633,37.061,48.09,42.412 ,66.259,69.668
175,23.76,31.471,32.388,44.719,46.304,37.303,43.276,55.377,49.553 ,76.696,79.574
170,26.479,34.676,36.308,48.486,50.515,42.205,48.456,61.318,55.445 ,84.863,87.547
165,28.712,37.197,39.508,51.364,53.628,46.404,52.722,66.134,60.230 ,91.109,93.949
160,30.537,39.175,42.089,53.574,55.936,49.962,56.198,70.016,64.070 ,95.821,99.075
155,32.023,40.727,44.152,55.285,57.665,52.944,59.007,73.131,67.129 ,99.361,103.164
150,33.229,41.95,45.793,56.619,58.975,55.409,61.262,75.617,69.555 ,102.025,106.411
145,34.207,42.916,47.095,57.667,59.982,57.419,63.064,77.593,71.478 ,104.042,108.978
140,34.999,43.683,48.128,58.496,60.766,59.029,64.499,79.156,73.003 ,105.581,110.993
135,35.642,44.296,48.95,59.156,61.382,60.296,65.64,80.386,74.216 ,106.767,112.565
130,36.163,44.788,49.606,59.685,61.874,61.27,66.546,81.351,75.185 ,107.688,113.782
125,36.585,45.184,50.131,60.111,62.268,62,67.266,82.103,75.962 ,108.41,114.715
120,36.929,45.506,50.553,60.456,62.588,62.529,67.838,82.686,76.588 ,108.98,115.423
115,37.208,45.768,50.894,60.736,62.849,62.9,68.293,83.136,77.095 ,109.433,115.954
110,37.435,45.982,51.17,60.965,63.064,63.15,68.655,83.482,77.507 ,109.797,116.346
105,37.62,46.157,51.395,61.152,63.241,63.318,68.943,83.745,77.843 ,110.089,116.632
100,37.771,46.302,51.578,61.306,63.389,63.44,69.173,83.945,78.118 ,110.326,116.843
95,37.895,46.421,51.729,61.432,63.512,63.557,69.357,84.095,78.344 ,110.519,117.009
90,37.995,46.52,51.852,61.537,63.616,63.705,69.503,84.21,78.530 ,110.677,117.161
85,38.077,46.601,51.955,61.623,63.703,63.923,69.62,84.305,78.685 ,110.806,117.328
80,38.145,46.67,52.042,61.695,63.777,64.249,69.713,84.393,78.813 ,110.912,117.543
