ALT,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,train21,train22,train23,train24,train25,train26,train27,train28,train29,train30,train31,train32,train33,train34,train35,train36,train37,train38,train39,train40,train41,train42,train43,train44,train45,train46,train47,train48,train49,train50,train51,train52,train53,train54,train55,train56,train57,train58,train59,train60,train61,train62,train63,train64,train65,train66,train67,train68,train69,train70,train71,train72,train73,train74,train75,train76,train77,train78,train79,train80,train81,train82,train83,train84,train85,train86,train87,train88,train89,train90,train91,train92,train93,train94,train95,train96,train97,train98,train99,train100,train101,train102,train103,train104,train105,train106,train107,train108,train109,train110,train111,train112,train113,train114,train115,train116,train117,train118,train119,train120,train121,train122,train123,train124,train125,train126,train127,train128,train129,train130,train131,train132,train133,train134,train135,train136,train137,train138,train139,train140,train141,train142,train143,train144,train145,train146,train147,train148,train149,train150,train151,train152,train153,train154,train155,train156,train157,train158,train159,train160,train161,train162,train163,train164,train165,train166,train167,train168,train169,train170,train171,train172,train173,train174,train175,train176,train177,train178,train179,train180,train181,train182,train183,train184,train185,train186,train187,train188,train189,train190,train191,train192,train193,train194,train195,train196,train197,train198,train199,train200,train201,train202,train203,train204,train205,train206,train207,train208
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,9.892,10.802,14.241,23.736,16.986,10.79,10.496,13.436,11.198,5.001,10.373,10.561,9.916,9.299,8.062,9.232,17.115,8.625,8.124,17.68,11.429,6.733,6.411,5.481,4.017,3.496,4.239,9.329,5.828,6.619,3.388,8.701,3.957,4.425,3.402,4.457,3.8,3.594,3.214,5.056,3.642,10.07,14.834,4.385,3.505,8.958,4.735,4.258,3.971,11.882,6.301,13.288,3.993,7.228,8.394,12.912,8.189,5.458,14.409,8.213,10.107,7.917,8.865,7.438,16.196,8.833,4.376,15.648,10.167,9.308,8.154,9.861,6.238,7.267,7.888,5.877,9.023,4.28,8.049,17.628,9.835,8.918,12.695,5.856,2.833,5.542,8.86,11.299,15.478,6.056,11.485,9.741,8.082,10.215,7.925,6.561,9.506,4.879,7.165,8.974,13.822,4.084,8.116,13.289,14.653,5.03,10.798,11.86,9.408,3.562,7.736,10.678,8.88,4.76,3.486,11.319,7.677,9.37,11.365,9.474,5.486,8.985,8.173,4.767,9.917,9.218,9.242,6.378,6.4,8.538,5.555,7.825,10.785,7.425,7.021,6.225,9.008,7.999,9.162,6.671,6.917,12.237,7.391,10.383,5.59,7.361,8.951,6.042,6.193,7.214,7.849,6.73,9.571,7.699,8.454,10.094,7.863,5.112,6.622,9.376,5.77,6.261,8.565,6.633,17.864,8.808,6.152,6.505,7.177,9.368,8.292,12.066,7.592,6.316,10.684,8.802,8.402,6.545,9.079,6.975,5.45,20.43,9.871,15.274,9.561,8.89,8.368,8.953,10.451,10.003,3.742,10.814,11.141,13.632,8.138,8.062,11.846,7.3,12.74,10.864,13.606,14.652,14.904,11.571,10.41,10.426,5.131,12.027
190,18.746,20.257,26.419,43.448,31.307,19.853,19.742,25.714,20.942,9.334,19.491,19.594,18.934,17.453,14.973,17.803,31.929,15.849,15.243,32.678,20.971,12.937,11.896,9.841,7.555,6.744,8.104,16.922,10.89,12.552,6.426,16.045,7.618,8.395,6.508,8.431,7.286,6.731,6.126,9.624,7.103,18.715,27.193,7.933,6.918,16.014,8.963,8.144,7.322,22.327,12.477,24.61,7.57,13.852,15.636,23.346,15.377,10.713,27.246,15.474,18.584,15.41,16.97,14.828,29.476,16.339,8.226,29.256,19.191,18.244,15.667,18.343,11.625,14.021,15.371,10.955,16.614,8.143,15.075,31.647,18.075,16.847,22.968,11.34,5.284,10.356,16.585,21.612,27.942,11.512,21.502,18.486,15.262,18.922,14.815,12.476,18.029,9.195,13.699,17.082,25.546,8.194,15.232,24.9,27.069,9.671,21.219,21.592,17.227,6.547,14.919,19.819,16.747,9.14,6.696,21.562,14.437,18.098,20.844,17.849,10.655,16.619,15.389,9.296,18.77,17.525,17.753,11.631,12.199,15.813,10.582,14.871,20.409,14.275,13.183,11.827,16.981,15.216,17.276,12.52,13.478,23.01,13.955,19.648,10.466,13.688,17.158,11.29,11.492,13.152,14.431,13.199,17.952,14.433,15.83,19.022,15.122,10.031,12.145,17.673,10.981,12.258,16.761,12.56,33.711,16.663,11.834,12.605,13.429,17.423,15.672,22.532,14.222,11.929,20.196,16.765,15.087,12.433,17.296,12.996,10.432,36.739,17.933,28.588,18.227,16.759,15.656,16.517,19.307,18.606,7.139,20.172,21.373,25.019,14.684,15.339,22.115,14.111,23.367,19.759,25.198,27.799,27.629,21.707,19.694,19.303,9.41,21.955
185,26.56,28.442,36.549,59.607,43.13,27.422,27.769,36.702,29.309,12.98,27.363,27.239,26.807,24.542,20.878,25.625,44.379,21.892,21.395,45.137,28.863,18.514,16.074,13.106,10.436,9.695,11.56,22.846,15.197,17.764,9.115,22.06,10.958,11.884,9.295,11.9,10.36,9.462,8.733,13.668,10.277,25.982,37.406,10.748,9.973,21.547,12.71,11.665,10.069,31.289,18.34,34.058,10.673,19.595,21.668,31.571,21.549,15.681,38.605,21.577,25.491,22.206,23.948,21.986,40.255,22.568,11.565,40.985,26.983,26.633,22.27,25.505,16.178,20.222,22.21,15.235,22.942,11.489,21.052,42.723,24.89,23.708,31.085,16.311,7.351,14.367,23.267,30.625,37.729,16.354,29.766,25.98,21.389,26.139,20.704,17.747,25.423,12.929,19.533,24.172,35.206,12.14,21.345,34.949,37.481,13.852,30.879,29.391,23.649,8.967,21.37,27.534,23.63,13.118,9.517,30.563,20.316,25.952,28.715,25.07,15.415,22.846,21.635,13.541,26.114,24.865,25.331,15.949,17.317,21.837,15.05,21.042,28.852,20.499,18.469,16.747,23.923,21.612,24.301,17.538,19.557,32.382,19.687,27.689,14.635,19.036,24.566,15.81,15.919,17.9,19.89,19.218,25.097,20.198,21.941,26.695,21.59,14.666,16.737,24.912,15.618,17.784,23.933,17.701,47.423,23.571,16.954,18.132,18.723,24.279,22.152,31.472,19.804,16.832,28.417,23.62,20.376,17.487,24.585,18.173,14.806,49.759,24.325,39.93,25.801,23.495,21.877,22.754,26.622,25.825,9.991,28.007,30.295,34.354,19.915,21.666,30.757,20.401,32.023,26.796,34.729,39.315,38.337,30.512,27.813,26.645,12.86,30.228
180,33.351,35.446,44.765,72.694,52.707,33.709,34.635,46.291,36.4,15.967,34.036,33.648,33.363,30.65,25.91,32.616,54.545,26.938,26.637,55.294,35.338,23.387,19.022,15.491,12.648,12.307,14.582,27.343,18.798,22.243,11.464,26.875,13.952,14.883,11.747,14.865,12.965,11.833,11.034,17.171,13.059,31.968,45.784,12.959,12.42,25.87,16.004,14.825,12.278,38.787,23.598,41.798,13.279,24.278,26.542,37.94,26.727,20.25,48.585,26.462,30.983,27.999,29.55,28.523,48.93,27.633,14.418,51.005,33.52,34.236,27.715,31.438,19.949,25.825,28.14,18.767,28.168,14.27,26.007,51.447,30.456,29.471,37.402,20.635,9.06,17.592,28.998,38.101,45.293,20.579,36.244,32.075,26.414,31.97,25.656,22.385,31.608,16.085,24.614,30.129,42.943,15.59,26.493,43.561,46.129,17.516,39.252,35.544,28.865,10.886,26.92,33.968,29.57,16.676,11.881,38.216,25.367,32.696,35.226,31.126,19.662,27.754,26.925,17.45,31.77,31.212,31.787,19.491,21.699,26.707,18.95,26.278,36.122,26.05,22.899,20.954,29.866,27.175,30.24,21.753,25.007,40.432,24.607,34.461,18.132,23.483,31.133,19.668,19.547,21.613,24.373,24.527,31.031,25.025,26.765,33.096,27.081,18.9,20.543,31.137,19.676,22.572,29.479,22.025,58.969,29.553,21.439,22.897,23.085,30.055,27.757,38.996,24.348,21.043,35.309,29.182,24.553,21.623,30.911,22.605,18.479,60.16,29.303,49.369,32.141,29.077,27.08,27.781,32.52,31.737,12.226,34.36,37.591,41.883,24.084,26.94,37.823,26.138,38.928,32.243,42.329,49.137,47.223,38.096,34.759,32.566,15.58,37.17
175,39.159,41.37,51.3,83.176,60.349,38.903,40.419,54.423,42.332,18.363,39.595,38.972,38.585,35.864,30.188,38.714,62.645,31.141,31.046,63.448,40.621,27.517,21.074,17.243,14.311,14.552,17.167,30.718,21.763,26.008,13.487,30.674,16.585,17.407,13.862,17.35,15.096,13.886,13.035,20.14,15.377,36.81,52.615,14.694,14.226,29.243,18.878,17.634,14.037,44.917,27.945,48.042,15.41,27.911,30.398,42.819,30.973,24.304,57.286,30.237,35.276,32.6,33.795,33.895,55.869,31.69,16.822,59.492,38.863,40.783,31.914,36.266,23.016,30.792,32.989,21.632,32.445,16.503,30.026,58.315,34.948,34.172,42.285,24.237,10.45,20.126,33.869,44,51.099,24.196,41.15,36.815,30.407,36.585,29.762,26.409,36.602,18.687,28.926,34.928,48.989,18.27,30.752,50.875,53.25,20.64,45.917,40.362,33.06,12.396,31.479,39.278,34.629,19.806,13.785,44.508,29.654,38.183,40.595,36.059,23.301,31.536,31.302,20.965,35.919,36.577,37.017,22.389,25.336,30.582,22.291,30.58,42.264,30.903,26.534,24.453,34.867,31.919,35.143,25.222,29.694,47.254,28.76,40.003,21.022,27.125,36.834,22.934,22.485,24.477,28.022,28.879,35.846,28.98,30.449,38.293,31.49,22.617,23.689,36.413,23.16,26.418,33.387,25.563,68.43,34.654,25.254,26.754,26.595,34.871,32.533,45.238,27.962,24.601,40.931,33.456,27.855,24.884,36.281,26.386,21.438,68.477,33.155,57.054,37.218,33.577,31.35,31.757,37.178,36.474,13.918,39.371,43.211,47.878,27.407,31.167,43.457,31.292,44.344,36.423,48.261,57.292,54.499,44.567,40.573,37.258,17.705,43.023
170,44.044,46.32,56.429,91.488,66.381,43.175,45.225,61.118,47.233,20.258,44.153,43.361,42.615,40.274,33.818,43.893,68.985,34.632,34.71,69.921,44.914,30.921,22.534,18.552,15.567,16.428,19.332,33.254,24.182,29.107,15.207,33.656,18.851,19.492,15.651,19.402,16.804,15.66,14.745,22.606,17.23,40.672,58.157,16.061,15.528,31.874,21.364,20.103,15.435,49.834,31.261,53.026,17.123,30.657,33.414,46.54,34.38,27.747,64.808,33.108,38.598,36.052,36.918,37.797,61.393,34.913,18.822,66.619,43.14,46.078,34.993,40.131,25.478,35.095,36.764,23.93,35.913,18.259,33.233,63.729,38.533,37.913,46.058,27.129,11.571,22.099,37.97,48.49,55.557,27.233,44.819,40.397,33.522,40.187,33.127,29.847,40.519,20.786,32.493,38.654,53.627,20.194,34.227,57.033,59.073,23.238,50.849,44.133,36.407,13.585,35.074,43.628,38.878,22.514,15.286,49.533,33.253,42.433,45.009,39.968,26.282,34.424,34.839,24.039,38.918,41.013,41.062,24.751,28.27,33.642,25.107,34.015,47.359,35.052,29.467,27.29,39.008,35.891,39.108,28.03,33.543,52.958,32.213,44.43,23.383,30.067,41.677,25.674,24.848,26.673,30.972,32.193,39.689,32.158,33.221,42.422,34.851,25.737,26.28,40.826,26.089,29.308,36.078,28.399,75.997,38.936,28.413,29.692,29.369,38.847,36.539,50.35,30.801,27.565,45.425,36.628,30.473,27.405,40.75,29.601,23.755,75.135,36.14,63.196,41.135,37.139,34.795,34.855,40.8,40.205,15.194,43.248,47.379,52.611,30.063,34.459,47.867,35.84,48.54,39.634,52.841,63.9,60.387,50.035,45.337,40.94,19.366,47.975
165,48.087,50.406,60.431,98.023,71.111,46.673,49.165,66.48,51.238,21.745,47.842,46.953,45.677,43.968,36.895,48.178,73.9,37.519,37.724,75.025,48.392,33.667,23.605,19.552,16.533,17.958,21.113,35.177,26.144,31.614,16.65,35.998,20.761,21.19,17.137,21.076,18.16,17.191,16.182,24.622,18.677,43.719,62.635,17.146,16.483,33.925,23.497,22.246,16.551,53.723,33.673,56.977,18.489,32.725,35.768,49.381,37.067,30.552,71.248,35.29,41.16,38.57,39.208,40.426,65.778,37.464,20.469,72.557,46.519,50.118,37.199,43.183,27.434,38.723,39.621,25.763,38.7,19.629,35.765,68.011,41.366,40.835,48.986,29.399,12.47,23.637,41.39,51.851,58.998,29.732,47.57,43.075,35.936,42.978,35.861,32.736,43.536,22.447,35.381,41.47,57.141,21.556,37.032,62.176,63.805,25.36,54.374,47.095,39.06,14.528,37.835,47.173,42.402,24.82,16.463,53.466,36.243,45.619,48.63,42.994,28.626,36.63,37.634,26.645,41.104,44.609,44.09,26.67,30.587,36.055,27.45,36.699,51.515,38.525,31.806,29.544,42.389,39.164,42.259,30.275,36.58,57.662,35.045,47.908,25.298,32.416,45.698,27.954,26.747,28.358,33.344,34.596,42.722,34.672,35.309,45.659,37.324,28.251,28.406,44.472,28.497,31.403,37.968,30.646,81.934,42.477,30.976,31.835,31.54,42.098,39.85,54.491,33.025,30.006,48.973,38.95,32.559,29.345,44.408,32.324,25.545,80.472,38.47,68.039,44.088,39.935,37.54,37.246,43.587,43.108,16.17,46.217,50.432,56.327,32.193,36.984,51.28,39.77,51.769,42.12,56.371,69.152,65.102,54.609,49.17,43.821,20.673,52.176
160,51.381,53.741,63.55,103.123,74.81,49.526,52.36,70.681,54.477,22.912,50.798,49.878,48.001,47.033,39.499,51.643,77.696,39.898,40.184,79.035,51.207,35.85,24.417,20.333,17.291,19.186,22.558,36.654,27.732,33.615,17.849,37.849,22.339,22.558,18.354,22.435,19.24,18.51,17.368,26.252,19.797,46.109,66.242,18.016,17.202,35.525,25.312,24.081,17.448,56.776,35.409,60.102,19.576,34.298,37.612,51.557,39.157,32.763,76.706,36.964,43.141,40.405,40.908,42.182,69.255,39.485,21.812,77.467,49.17,53.084,38.78,45.565,28.981,41.695,41.772,27.225,40.918,20.701,37.755,71.409,43.585,43.093,51.275,31.163,13.192,24.844,44.211,54.365,61.675,31.752,49.656,45.085,37.811,45.135,38.071,35.122,45.84,23.741,37.682,43.57,59.788,22.541,39.285,66.441,67.632,27.072,56.893,49.438,41.15,15.283,39.931,50.052,45.29,26.756,17.39,56.511,38.707,47.976,51.593,45.296,30.415,38.328,39.802,28.787,42.729,47.48,46.322,28.222,32.393,37.964,29.38,38.769,54.859,41.375,33.658,31.311,45.117,41.828,44.735,32.053,38.91,61.489,37.344,50.616,26.847,34.275,48.97,29.834,28.277,29.656,35.242,36.311,45.106,36.637,36.898,48.179,39.115,30.223,30.146,47.455,30.434,32.914,39.342,32.419,86.535,45.365,33.029,33.37,33.231,44.731,42.548,57.816,34.776,31.999,51.761,40.657,34.228,30.847,47.368,34.625,26.927,84.755,40.307,71.824,46.295,42.126,39.706,39.083,45.72,45.351,16.932,48.484,52.682,59.239,33.911,38.915,53.911,43.087,54.245,44.065,59.103,73.274,68.846,58.392,52.211,46.081,21.712,55.743
155,54.029,56.43,65.988,107.076,77.702,51.842,54.926,73.923,57.076,23.83,53.151,52.248,49.777,49.551,41.703,54.395,80.634,41.847,42.178,82.187,53.485,37.576,25.048,20.954,17.899,20.163,23.723,37.802,29.019,35.198,18.834,39.322,23.62,23.655,19.34,23.534,20.105,19.645,18.329,27.561,20.669,47.977,69.14,18.719,17.761,36.774,26.845,25.63,18.177,59.165,36.677,62.572,20.446,35.514,39.068,53.235,40.769,34.475,81.279,38.265,44.679,41.759,42.194,43.388,72.008,41.091,22.9,81.498,51.249,55.229,39.928,47.411,30.202,44.058,43.403,28.392,42.669,21.547,39.32,74.118,45.307,44.831,53.079,32.538,13.773,25.802,46.513,56.263,63.775,33.356,51.264,46.609,39.28,46.807,39.851,37.059,47.602,24.74,39.498,45.132,61.78,23.277,41.089,69.957,70.717,28.449,58.728,51.306,42.789,15.895,41.524,52.388,47.632,28.362,18.129,58.862,40.722,49.722,54.014,47.028,31.758,39.647,41.457,30.5,43.964,49.748,47.965,29.471,33.791,39.484,30.96,40.359,57.52,43.676,35.12,32.686,47.299,43.977,46.667,33.456,40.677,64.564,39.196,52.72,28.099,35.738,51.585,31.373,29.517,30.663,36.756,37.544,46.98,38.162,38.123,50.141,40.413,31.75,31.563,49.875,31.959,34.019,40.374,33.819,90.078,47.695,34.667,34.471,34.548,46.846,44.72,60.467,36.165,33.618,53.955,41.928,35.572,32.024,49.746,36.563,28.002,88.197,41.77,74.768,47.946,43.852,41.405,40.491,47.351,47.08,17.54,50.219,54.367,61.521,35.303,40.398,55.941,45.818,56.144,45.604,61.235,76.489,71.797,61.486,54.599,47.863,22.548,58.774
